ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE
1124	Changsha	chopsticks	筷子	kʰwajuai⁵⁵ʦɿ	kʰ w a j u a i ⁵⁵ ts ɿ		818	734	kʰ w a j u a i ⁵⁵ ts ɿ - -	C C V C V V V T C V
1132	Chengdu	chopsticks	筷子	kʰwajuai¹³ʦɿ⁵³	kʰ w a j u a i ¹³ ts ɿ ⁵³		818	734	kʰ w a j u a i ¹³ ts ɿ - ⁵³	C C V C V V V T C V T
1130	Guangzhou	chopsticks	筷子	faj³³ʦi³⁵	f a j ³³ ts i ³⁵		818	734	- f a j - - - ³³ ts i - ³⁵	C V C T C V T
1125	Guixian	chopsticks	筷子	kʰwajuai²¹³ʦɿ⁴²	kʰ w a j u a i ²¹³ ts ɿ ⁴²		818	734	kʰ w a j u a i ²¹³ ts ɿ - ⁴²	C C V C V V V T C V T
1127	Hefei	chopsticks	筷子	kʰwᴇ⁵³ʦə	kʰ w ᴇ/e̞ ⁵³ ts ə		818	734	kʰ w ᴇ/e̞ - - - - ⁵³ ts ə - -	C C V T C V
1128	Jinan	chopsticks	筷子	kʰwɛ²¹ʦɿ	kʰ w ɛ ²¹ ts ɿ		818	734	kʰ w ɛ - - - - ²¹ ts ɿ - -	C C V T C V
1131	Nanchang	chopsticks	筷子	kʰwajuai²¹³ʦɿ⁰⁴	kʰ w a j u a i ²¹³ ts ɿ ⁰⁴/¹⁴		818	734	kʰ w a j u a i ²¹³ ts ɿ - ⁰⁴/¹⁴	C C V C V V V T C V T
1139	Shanghai	chopsticks	筷子	kʰwe⁵³ʦɿ³⁵	kʰ w e ⁵³ ts ɿ ³⁵		818	734	kʰ w e - - - - ⁵³ ts ɿ - ³⁵	C C V T C V T
1133	Taiyuan	chopsticks	筷子	kʰwajuai⁴⁵ʦəʔ	kʰ w a j u a i ⁴⁵ ts ə ʔ		818	734	kʰ w a j u a i ⁴⁵ ts ə ʔ -	C C V C V V V T C V C
1883	Changsha	classifier (cow)	一条牛	tjawiau¹³	t j a w i a u ¹³		716	650	t j a w i a u ¹³	C C V C V V V T
1893	Chengdu	classifier (cow)	一条牛	tʰjawiau³¹	tʰ j a w i a u ³¹		716	650	tʰ j a w i a u ³¹	C C V C V V V T
1884	Guixian	classifier (cow)	一条牛	tʰjaoiao²¹	tʰ j a o i a o ²¹		716	650	tʰ j a o i a o ²¹	C C V V V V V T
1886	Hefei	classifier (cow)	一条牛	tʰjɔ⁵⁵	tʰ j ɔ ⁵⁵		716	650	tʰ j ɔ - - - - ⁵⁵	C C V T
1887	Jinan	classifier (cow)	一条牛	tʰjɔ⁴²	tʰ j ɔ ⁴²		716	650	tʰ j ɔ - - - - ⁴²	C C V T
1899	Kunming	classifier (cow)	一条牛	tʰjɔ³¹	tʰ j ɔ ³¹		716	650	tʰ j ɔ - - - - ³¹	C C V T
1882	Meixian	classifier (cow)	一条牛	tʰjawiau¹¹	tʰ j a w i a u ¹¹		716	650	tʰ j a w i a u ¹¹	C C V C V V V T
1890	Guangzhou	classifier (cow)	一只牛	ʦɛk³	ts ɛ k ³		652	597	ts - ɛ k ³	C V C T
